applicant_id,application_date,municipality,household_type,household_size,annual_income_cad,income_band,priority_group,immigration_status,requested_housing_type,bedrooms_needed,accessibility_needs,current_housing_situation,vulnerability_score_0_100,urgency_score_0_100,predicted_wait_days,actual_wait_days,outcome,housing_provider,notes
FVR-0001,2025-01-25,Hope,Youth aging out of care,1,18500,Deep core need,Homeless/At risk,Citizen,Transitional housing,1,None,Shelter,93,98,147,178,Housed,Faith-based Housing Partner,
FVR-0002,2025-02-03,Abbotsford,Senior living alone,1,26500,Low income,Disability,Permanent Resident,Assisted living,1,Wheelchair,Renting >30% income,77,73,191,199,Housed,BC Housing (Fraser),
FVR-0003,2025-02-13,Langley (Fraser Valley),Single adult,1,30500,Low income,None,Work Permit,Subsidized rental,1,None,Renting >30% income,53,61,232,219,Waiting,,
FVR-0004,2025-03-02,Chilliwack,Single adult,1,26500,Low income,None,Citizen,Supportive housing,1,None,Shelter,72,71,198,186,Housed,Chilliwack Community Services,
FVR-0005,2025-03-09,Chilliwack,Family with children,3,46800,Moderate income,None,Work Permit,Co-op housing,2,None,Renting >30% income,47,49,246,235,Waiting,,
FVR-0006,2025-03-22,Chilliwack,Single adult,1,34500,Low income,None,Permanent Resident,Co-op housing,1,None,Renting >30% income,52,53,238,203,Waiting,,
FVR-0007,2025-03-28,Mission,Senior living alone,1,30500,Low income,Disability,Refugee,Assisted living,1,Elevator access,Renting >30% income,74,82,190,193,Housed,Fraser Valley Housing Society,
FVR-0008,2025-04-07,Hope,Single adult,1,18500,Deep core need,Homeless/At risk,Citizen,Transitional housing,1,None,Shelter,95,100,141,139,Housed,Mission Housing Assoc.,
FVR-0009,2025-04-14,Abbotsford,Couple no kids,2,46800,Moderate income,None,Permanent Resident,Co-op housing,2,None,Renting >30% income,44,50,257,221,Waiting,,
FVR-0010,2025-04-26,Abbotsford,Family with children,4,34500,Low income,Homeless/At risk,Citizen,Supportive housing,3,None,Shelter,79,75,191,180,Housed,Abbotsford Community Housing,
FVR-0011,2025-04-28,Kent/Agassiz,Family with children,3,51200,Moderate income,None,Citizen,Subsidized rental,2,None,Overcrowded,50,60,230,242,Waiting,,
FVR-0012,2025-05-05,Mission,Family with children,4,42500,Moderate income,Women+children fleeing violence,Refugee,Supportive housing,3,Ground-level,Unsafe/Violence,90,99,148,160,Housed,Chilliwack Community Services,
FVR-0013,2025-05-08,Chilliwack,Couple no kids,2,34500,Low income,None,Citizen,Co-op housing,2,Ground-level,Renting >30% income,57,65,221,237,Waiting,,
FVR-0014,2025-05-20,Mission,Family with children,3,30500,Low income,Women+children fleeing violence,Refugee,Supportive housing,2,Ground-level,Unsafe/Violence,91,100,147,141,Housed,Faith-based Housing Partner,
FVR-0015,2025-05-30,Abbotsford,Youth aging out of care,1,18500,Deep core need,Homeless/At risk,Citizen,Transitional housing,1,None,Couch-surfing,90,98,149,163,Housed,Faith-based Housing Partner,
FVR-0016,2025-06-04,Langley (Fraser Valley),Senior living alone,1,34500,Low income,Disability,Citizen,Assisted living,1,Wheelchair,Renting >30% income,71,82,188,176,Housed,Fraser Valley Housing Society,
FVR-0017,2025-06-09,Langley (Fraser Valley),Senior living alone,1,22000,Deep core need,Senior,Citizen,Assisted living,1,Elevator access,Renting >30% income,78,83,179,163,Housed,Fraser Valley Housing Society,
FVR-0018,2025-06-14,Hope,Senior living alone,1,26500,Low income,Senior,Citizen,Assisted living,1,Elevator access,Renting >30% income,73,74,195,210,Housed,Fraser Valley Housing Society,
FVR-0019,2025-06-22,Chilliwack,Single adult,1,22000,Deep core need,None,International Student,Subsidized rental,1,None,Couch-surfing,64,70,215,224,Waiting,,
FVR-0020,2025-06-29,Abbotsford,Senior living alone,1,22000,Deep core need,Senior,Permanent Resident,Assisted living,1,Elevator access,Renting >30% income,76,74,192,199,Housed,Fraser Valley Housing Society,
FVR-0021,2025-07-04,Abbotsford,Couple no kids,2,42500,Moderate income,None,Permanent Resident,Co-op housing,2,None,Renting >30% income,41,40,265,237,Waiting,,
FVR-0022,2025-07-13,Mission,Family with children,4,46800,Moderate income,None,Citizen,Subsidized rental,3,None,Overcrowded,57,48,239,210,Waiting,,
FVR-0023,2025-07-16,Kent/Agassiz,Family with children,5,34500,Low income,Newcomer/Refugee,Refugee,Subsidized rental,3,None,Overcrowded,67,68,205,212,Waiting,,
FVR-0024,2025-07-21,Hope,Single adult,1,30500,Low income,None,Citizen,Subsidized rental,1,None,Renting >30% income,57,49,235,224,Waiting,,
FVR-0025,2025-07-26,Hope,Family with children,4,38500,Moderate income,None,Citizen,Subsidized rental,3,None,Overcrowded,58,63,223,214,Waiting,,
FVR-0026,2025-08-01,Hope,Single adult,1,18500,Deep core need,Indigenous,Citizen,Supportive housing,1,Ground-level,Unsheltered,92,96,153,168,Housed,BC Housing (Fraser),
FVR-0027,2025-08-06,Abbotsford,Single adult,1,51200,Moderate income,Newcomer/Refugee,Refugee,Co-op housing,1,None,Renting >30% income,54,62,229,205,Waiting,,
FVR-0028,2025-08-18,Abbotsford,Couple no kids,2,38500,Moderate income,None,International Student,Co-op housing,2,None,Renting >30% income,43,50,258,230,Waiting,,
FVR-0029,2025-08-24,Abbotsford,Youth aging out of care,1,18500,Deep core need,Homeless/At risk,Citizen,Transitional housing,1,None,Shelter,90,93,152,137,Housed,Mission Housing Assoc.,
FVR-0030,2025-08-31,Chilliwack,Single adult,1,18500,Deep core need,Indigenous,Permanent Resident,Subsidized rental,1,Ground-level,Unsheltered,89,96,159,177,Waiting,,
FVR-0031,2025-09-07,Chilliwack,Single adult,1,22000,Deep core need,None,International Student,Subsidized rental,1,None,Couch-surfing,63,65,216,212,Waiting,,
FVR-0032,2025-09-11,Chilliwack,Family with children,4,34500,Low income,None,Citizen,Subsidized rental,3,None,Overcrowded,59,64,219,211,Waiting,,
FVR-0033,2025-09-15,Chilliwack,Youth aging out of care,1,18500,Deep core need,Homeless/At risk,Citizen,Transitional housing,1,None,Shelter,87,93,160,152,Housed,Mission Housing Assoc.,
FVR-0034,2025-09-29,Kent/Agassiz,Family with children,3,51200,Moderate income,None,Citizen,Subsidized rental,2,None,Overcrowded,46,48,248,216,Waiting,,
FVR-0035,2025-10-03,Mission,Family with children,5,30500,Low income,None,Refugee,Subsidized rental,3,None,Overcrowded,57,60,229,221,Waiting,,
FVR-0036,2025-10-12,Mission,Family with children,6,38500,Moderate income,Indigenous,Citizen,Supportive housing,3,None,Overcrowded,71,77,192,192,Waiting,,
FVR-0037,2025-10-16,Abbotsford,Senior living alone,1,22000,Deep core need,Senior,Citizen,Assisted living,1,Elevator access,Overcrowded,65,75,205,217,Waiting,,
FVR-0038,2025-10-24,Mission,Single adult,1,30500,Low income,None,Citizen,Subsidized rental,1,None,Couch-surfing,56,63,226,231,Waiting,,
FVR-0039,2025-10-28,Abbotsford,Single adult on parole,1,18500,Deep core need,Justice-involved (parole),Citizen,Supportive housing,1,None,Halfway/Transitional,88,95,165,170,Housed,BC Housing (Fraser),
FVR-0040,2025-10-30,Chilliwack,Single adult exiting corrections,1,20000,Deep core need,Justice-involved (parole),Citizen,Transitional housing,1,None,Shelter,90,97,158,164,Housed,Faith-based Housing Partner,
FVR-0041,2025-10-31,Abbotsford,Single adult,1,52000,Moderate income,None,Permanent Resident,Co-op housing,1,None,Renting >30% income,42,45,260,0,Waiting,,
FVR-0042,2025-11-01,Hope,Senior living alone,1,21000,Deep core need,Senior,Citizen,Assisted living,1,Wheelchair,Renting >30% income,80,82,185,0,Waiting,,
FVR-0043,2025-11-02,Mission,Family with children,4,33000,Low income,Women+children fleeing violence,Citizen,Supportive housing,3,Ground-level,Unsafe/Violence,92,100,145,0,Waiting,,
FVR-0044,2025-11-03,Langley (Fraser Valley),Single adult,1,24000,Low income,Newcomer/Refugee,Refugee,Subsidized rental,1,None,Couch-surfing,66,70,212,0,Waiting,,
FVR-0045,2025-11-04,Chilliwack,Couple no kids,2,36000,Low income,None,Citizen,Subsidized rental,2,None,Renting >30% income,55,58,225,0,Waiting,,
FVR-0046,2025-11-05,Abbotsford,Single adult with disability,1,21000,Deep core need,Disability,Citizen,Supportive housing,1,Wheelchair,Renting >30% income,88,93,160,0,Waiting,,
FVR-0047,2025-11-06,Hope,Single adult,1,18000,Deep core need,Indigenous,Citizen,Supportive housing,1,None,Unsheltered,91,97,155,0,Waiting,,
FVR-0048,2025-11-07,Mission,Family with children,5,31000,Low income,Newcomer/Refugee,Refugee,Subsidized rental,3,None,Overcrowded,68,72,205,0,Waiting,,
