applicant_id,application_date,municipality,household_type,household_size,annual_income_cad,income_band,priority_group,immigration_status,requested_housing_type,bedrooms_needed,accessibility_needs,current_housing_situation,vulnerability_score_0_100,urgency_score_0_100,predicted_wait_days,actual_wait_days,outcome,housing_provider,notes
FVR-E0001,2025-03-05,Chilliwack,Single adult,1,19650,Deep core need,Disability,International Student,Family supportive housing,1,Wheelchair,Shelter,63,55,138,139,Waiting,Fraser Valley Housing Society,
FVR-E0002,2025-03-09,Mission,Senior living alone,5,20300,Deep core need,Newcomer/Refugee,Citizen,Justice re-entry housing,3,None,Couch-surfing,66,60,146,148,Waiting,Chilliwack Community Services,
FVR-E0003,2025-03-13,Hope,Couple no kids,2,20950,Deep core need,Senior,Permanent Resident,Subsidized rental,2,Wheelchair,Unsheltered,69,65,154,157,Waiting,Mission Housing Assoc.,
FVR-E0004,2025-03-17,Kent/Agassiz,Single parent,1,21600,Deep core need,Homeless/At risk,Refugee,Supportive housing,1,None,Renting >30% income,72,70,162,142,Housed,Faith-based Housing Partner,
FVR-E0005,2025-03-21,Langley (Fraser Valley),Youth aging out of care,5,22250,Low income,Disability,Work Permit,Transitional housing,3,Wheelchair,Overcrowded,75,75,170,175,Waiting,High Priority Housing Society,
FVR-E0006,2025-03-25,Abbotsford,Family with children,3,22900,Low income,Newcomer/Refugee,International Student,Assisted living,3,None,Unsafe/Violence,78,80,178,184,Waiting,Abbotsford Community Housing,
FVR-E0007,2025-03-29,Chilliwack,Single adult,1,23550,Low income,Senior,Citizen,Co-op housing,1,Wheelchair,Shelter,81,85,186,193,Waiting,BC Housing (Fraser),
FVR-E0008,2025-04-02,Mission,Senior living alone,5,24200,Low income,Homeless/At risk,Permanent Resident,Family supportive housing,3,None,Couch-surfing,84,90,194,174,Housed,Fraser Valley Housing Society,
FVR-E0009,2025-04-06,Hope,Couple no kids,2,24850,Low income,Disability,Refugee,Justice re-entry housing,2,Wheelchair,Unsheltered,87,95,202,211,Waiting,Chilliwack Community Services,
FVR-E0010,2025-04-10,Kent/Agassiz,Single parent,1,25500,Low income,Newcomer/Refugee,Work Permit,Subsidized rental,1,None,Renting >30% income,90,50,210,210,Waiting,Mission Housing Assoc.,
FVR-E0011,2025-04-14,Langley (Fraser Valley),Youth aging out of care,5,26150,Low income,Senior,International Student,Supportive housing,3,Wheelchair,Overcrowded,93,55,218,219,Waiting,Faith-based Housing Partner,
