unit_id,housing_type_id,housing_type_name,municipality,provider,bedrooms,accessibility,availability_status,notes
UNIT-D0001,HT-D04,Assisted living,Mission,Faith-based Housing Partner,2,Standard,Available,
UNIT-D0002,HT-D05,Co-op housing,Kent/Agassiz,High Priority Housing Society,3,Standard,Available,
UNIT-D0003,HT-D06,Family supportive housing,Abbotsford,Abbotsford Community Housing,1,Standard,Available,
UNIT-D0004,HT-D07,Justice re-entry housing,Mission,BC Housing (Fraser),2,Standard,Available,
UNIT-D0005,HT-D01,Subsidized rental,Kent/Agassiz,Fraser Valley Housing Society,3,Standard,Available,
UNIT-D0006,HT-D02,Supportive housing,Abbotsford,Chilliwack Community Services,1,Ground-level,Available,
UNIT-D0007,HT-D03,Transitional housing,Mission,Mission Housing Assoc.,2,Standard,Available,
UNIT-D0008,HT-D04,Assisted living,Kent/Agassiz,Faith-based Housing Partner,3,Standard,Available,
UNIT-D0009,HT-D05,Co-op housing,Abbotsford,High Priority Housing Society,1,Standard,Available,
UNIT-D0010,HT-D06,Family supportive housing,Mission,Abbotsford Community Housing,2,Standard,Available,
UNIT-D0011,HT-D07,Justice re-entry housing,Kent/Agassiz,BC Housing (Fraser),3,Standard,Available,
UNIT-D0012,HT-D01,Subsidized rental,Abbotsford,Fraser Valley Housing Society,1,Ground-level,Available,
UNIT-D0013,HT-D02,Supportive housing,Mission,Chilliwack Community Services,2,Standard,Available,
UNIT-D0014,HT-D03,Transitional housing,Kent/Agassiz,Mission Housing Assoc.,3,Standard,Available,
UNIT-D0015,HT-D04,Assisted living,Abbotsford,Faith-based Housing Partner,1,Standard,Available,
UNIT-D0016,HT-D05,Co-op housing,Mission,High Priority Housing Society,2,Standard,Available,
UNIT-D0017,HT-D06,Family supportive housing,Kent/Agassiz,Abbotsford Community Housing,3,Standard,Available,
UNIT-D0018,HT-D07,Justice re-entry housing,Abbotsford,BC Housing (Fraser),1,Ground-level,Available,
UNIT-D0019,HT-D01,Subsidized rental,Mission,Fraser Valley Housing Society,2,Standard,Available,
UNIT-D0020,HT-D02,Supportive housing,Kent/Agassiz,Chilliwack Community Services,3,Standard,Available,
UNIT-D0021,HT-D03,Transitional housing,Abbotsford,Mission Housing Assoc.,1,Standard,Available,
UNIT-D0022,HT-D04,Assisted living,Mission,Faith-based Housing Partner,2,Standard,Available,
UNIT-D0023,HT-D05,Co-op housing,Kent/Agassiz,High Priority Housing Society,3,Standard,Available,
UNIT-D0024,HT-D06,Family supportive housing,Abbotsford,Abbotsford Community Housing,1,Ground-level,Available,
UNIT-D0025,HT-D07,Justice re-entry housing,Mission,BC Housing (Fraser),2,Standard,Available,
UNIT-D0026,HT-D01,Subsidized rental,Kent/Agassiz,Fraser Valley Housing Society,3,Standard,Available,
UNIT-D0027,HT-D02,Supportive housing,Abbotsford,Chilliwack Community Services,1,Standard,Available,
UNIT-D0028,HT-D03,Transitional housing,Mission,Mission Housing Assoc.,2,Standard,Available,
UNIT-D0029,HT-D04,Assisted living,Kent/Agassiz,Faith-based Housing Partner,3,Standard,Available,
UNIT-D0030,HT-D05,Co-op housing,Abbotsford,High Priority Housing Society,1,Ground-level,Available,
UNIT-D0031,HT-D06,Family supportive housing,Mission,Abbotsford Community Housing,2,Standard,Available,
UNIT-D0032,HT-D07,Justice re-entry housing,Kent/Agassiz,BC Housing (Fraser),3,Standard,Available,
UNIT-D0033,HT-D01,Subsidized rental,Abbotsford,Fraser Valley Housing Society,1,Standard,Available,
UNIT-D0034,HT-D02,Supportive housing,Mission,Chilliwack Community Services,2,Standard,Available,
UNIT-D0035,HT-D03,Transitional housing,Kent/Agassiz,Mission Housing Assoc.,3,Standard,Available,
UNIT-D0036,HT-D04,Assisted living,Abbotsford,Faith-based Housing Partner,1,Ground-level,Available,
UNIT-D0037,HT-D05,Co-op housing,Mission,High Priority Housing Society,2,Standard,Available,
UNIT-D0038,HT-D06,Family supportive housing,Kent/Agassiz,Abbotsford Community Housing,3,Standard,Available,
UNIT-D0039,HT-D07,Justice re-entry housing,Abbotsford,BC Housing (Fraser),1,Standard,Available,
UNIT-D0040,HT-D01,Subsidized rental,Mission,Fraser Valley Housing Society,2,Standard,Available,
UNIT-D0041,HT-D02,Supportive housing,Kent/Agassiz,Chilliwack Community Services,3,Standard,Available,
UNIT-D0042,HT-D03,Transitional housing,Abbotsford,Mission Housing Assoc.,1,Ground-level,Available,
UNIT-D0043,HT-D04,Assisted living,Mission,Faith-based Housing Partner,2,Standard,Available,
UNIT-D0044,HT-D05,Co-op housing,Kent/Agassiz,High Priority Housing Society,3,Standard,Available,
UNIT-D0045,HT-D06,Family supportive housing,Abbotsford,Abbotsford Community Housing,1,Standard,Available,
UNIT-D0046,HT-D07,Justice re-entry housing,Mission,BC Housing (Fraser),2,Standard,Available,
UNIT-D0047,HT-D01,Subsidized rental,Kent/Agassiz,Fraser Valley Housing Society,3,Standard,Available,
UNIT-D0048,HT-D02,Supportive housing,Abbotsford,Chilliwack Community Services,1,Ground-level,Available,
UNIT-D0049,HT-D03,Transitional housing,Mission,Mission Housing Assoc.,2,Standard,Available,
UNIT-D0050,HT-D04,Assisted living,Kent/Agassiz,Faith-based Housing Partner,3,Standard,Available,
